Initializing DockingService
DockingService initialized
Docking Start Time: 1690065791.8468978
Initializing DockingService
DockingService initialized
Docking Start Time: 1690066474.0330892
Time: 1690076246.957161, Batch Size: 23
Time: 1690076271.8348415, Batch Size: 46
Time: 1690076323.9852111, Batch Size: 257
Time: 1690076379.0420618, Batch Size: 43
Time: 1690076500.8377395, Batch Size: 45
Time: 1690076512.119266, Batch Size: 43
Time: 1690076514.4240658, Batch Size: 42
Time: 1690076586.539741, Batch Size: 10
Time: 1690076589.9959316, Batch Size: 42
Time: 1690076726.9884894, Batch Size: 44
Time: 1690076762.7236948, Batch Size: 23
Time: 1690076830.2307298, Batch Size: 258
Time: 1690076957.908208, Batch Size: 43
Time: 1690077020.6840422, Batch Size: 43
Time: 1690077107.7954543, Batch Size: 44
Time: 1690077149.793337, Batch Size: 42
Time: 1690077179.6467843, Batch Size: 43
Time: 1690077342.9641516, Batch Size: 44
Time: 1690077343.8921335, Batch Size: 259
Time: 1690077501.872387, Batch Size: 24
Time: 1690077528.020619, Batch Size: 35
Time: 1690077570.038124, Batch Size: 43
Time: 1690077616.089398, Batch Size: 44
Time: 1690077660.8959234, Batch Size: 42
Time: 1690077714.1908731, Batch Size: 44
Time: 1690077813.9291108, Batch Size: 43
Time: 1690077867.5073886, Batch Size: 260
Time: 1690077996.894396, Batch Size: 44
Time: 1690078133.4551675, Batch Size: 19
Time: 1690078133.4767282, Batch Size: 23
Time: 1690078140.3302536, Batch Size: 43
Time: 1690078180.730919, Batch Size: 44
Time: 1690078312.6961129, Batch Size: 43
Time: 1690078349.8257568, Batch Size: 44
Time: 1690078368.52157, Batch Size: 261
Time: 1690078421.1278663, Batch Size: 43
Time: 1690078597.1294425, Batch Size: 44
Time: 1690078692.8571677, Batch Size: 19
Time: 1690078700.6160097, Batch Size: 43
Time: 1690078766.1535, Batch Size: 44
Time: 1690078804.0613153, Batch Size: 23
Time: 1690078870.010121, Batch Size: 262
Time: 1690078889.781594, Batch Size: 43
Time: 1690078894.924328, Batch Size: 44
Time: 1690079044.1124732, Batch Size: 43
Time: 1690079138.211648, Batch Size: 44
Time: 1690079146.1248991, Batch Size: 19
Time: 1690079262.691981, Batch Size: 43
Time: 1690079374.3413327, Batch Size: 263
Time: 1690079394.0248697, Batch Size: 44
Time: 1690079436.7751906, Batch Size: 23
Time: 1690079467.056716, Batch Size: 43
Time: 1690079489.9578497, Batch Size: 44
Time: 1690079644.6215267, Batch Size: 43
Time: 1690079721.982069, Batch Size: 44
Time: 1690079894.872935, Batch Size: 264
Time: 1690079909.0993798, Batch Size: 28
Time: 1690079927.819308, Batch Size: 43
Time: 1690079951.0263326, Batch Size: 44
Time: 1690080022.4342709, Batch Size: 43
Time: 1690080058.0066729, Batch Size: 23
Time: 1690080061.4156485, Batch Size: 44
Time: 1690080255.62063, Batch Size: 43
Time: 1690080317.4779272, Batch Size: 44
Time: 1690080415.8964365, Batch Size: 265
Time: 1690080486.3550875, Batch Size: 42
Time: 1690080512.6016345, Batch Size: 44
Time: 1690080623.9447703, Batch Size: 43
